,Battery Voltage [V],Velocity [km/h],Battery Temperature [°C],Cabin Temperature Sensor [°C],Heat Exchanger Temperature [°C],Throttle [%],SoC [%]
4804,381.83,89.19,22.0,23.34,5.0,43.18,79.4
4805,382.13,89.2,22.0,23.34,5.0,43.35,79.4
4806,382.42,89.14,22.0,23.34,5.0,43.35,79.4
4807,382.62,89.11,22.0,23.34,5.0,43.35,79.4
4808,382.81,89.06,22.0,23.34,5.0,43.48,79.4
4809,382.96,89.04,22.0,23.34,5.0,43.63,79.4
4810,383.11,88.97,22.0,23.34,5.0,43.78,79.4
4811,383.26,88.91,22.0,23.34,5.0,44.25,79.4
4812,383.39,88.82,22.0,23.34,5.0,45.3,79.4
4813,383.24,88.73,22.0,23.34,5.0,47.01,79.4
4814,383.09,88.68,22.0,23.34,5.0,48.25,79.4
4815,382.94,88.63,22.0,23.34,5.0,49.68,79.4
4816,382.77,88.61,22.0,23.34,5.0,50.99,79.4
4817,382.42,88.63,22.0,23.34,5.0,51.55,79.4
4818,382.06,88.61,22.0,23.34,5.0,51.55,79.4
4819,381.66,88.61,22.0,23.34,5.0,51.55,79.4
4820,381.27,88.63,22.0,23.34,5.0,51.4,79.4
4821,380.97,88.67,22.0,23.34,5.0,51.23,79.4
4822,380.69,88.71,22.0,23.34,5.0,50.65,79.4
4823,380.54,88.74,22.0,23.34,5.0,50.02,79.4
4824,380.41,88.84,22.0,23.34,5.0,48.22,79.4
4825,380.51,88.91,22.0,23.34,5.0,45.42,79.4
4826,380.65,88.95,22.0,23.34,5.0,42.92,79.4
4827,381.2,88.97,22.0,23.34,5.0,41.37,79.4
4828,381.75,88.96,22.0,23.34,5.0,39.22,79.4
4829,382.3,88.99,22.0,23.34,5.0,37.32,79.4
4830,382.83,88.97,22.0,23.34,5.0,35.45,79.4
4831,383.18,88.91,22.0,23.34,5.0,33.62,79.4
4832,383.53,88.84,22.0,23.34,5.0,32.09,79.4
4833,383.83,88.76,22.0,23.34,5.0,30.22,79.4
4834,384.13,88.65,22.0,23.34,5.0,28.62,79.4
4835,384.43,88.52,22.0,23.34,5.0,27.25,79.4
4836,384.72,88.38,22.0,23.34,5.0,26.3,79.4
4837,384.97,88.24,22.0,23.34,5.0,25.98,79.4
4838,385.24,88.15,22.0,23.34,5.0,25.8,79.4
4839,385.64,87.99,22.0,23.34,5.0,25.65,79.4
4840,386.04,87.83,22.0,23.34,5.0,22.54,79.4
4841,386.49,87.6,22.0,23.34,5.0,17.41,79.4
4842,386.95,87.36,22.0,23.34,5.0,15.47,79.4
4843,387.45,87.12,22.0,23.34,5.0,14.95,79.4
4844,387.97,86.86,22.0,23.34,5.0,14.35,79.4
4845,388.72,86.52,22.0,23.34,5.0,13.7,79.4
4846,389.49,86.17,22.0,23.34,5.0,13.44,79.4
4847,390.39,85.79,22.0,23.34,5.0,8.74,79.4
4848,391.34,85.38,22.0,23.34,5.0,4.66,79.4
4849,392.84,84.93,22.0,23.34,5.0,2.42,79.4
4850,394.21,84.35,22.0,23.34,5.0,1.8,79.4
4851,394.31,83.74,22.0,23.34,5.0,1.0,79.4
4852,394.39,83.14,22.0,23.34,5.0,1.15,79.4
4853,394.24,82.55,22.0,23.34,5.0,1.28,79.4
4854,394.08,81.92,22.0,23.34,5.0,1.3,79.4
4855,393.88,81.29,22.0,23.34,5.0,1.63,79.4
4856,393.69,80.72,22.0,23.34,5.0,2.83,79.4
4857,393.54,80.16,22.0,23.34,5.0,3.45,79.4
4858,393.4,79.61,22.0,23.34,5.0,4.23,79.4
4859,393.35,79.11,22.0,23.34,5.0,5.45,79.4
4860,393.28,78.48,22.0,23.34,5.0,6.98,79.4
4861,393.03,77.96,22.0,23.34,5.0,9.43,79.4
4862,392.67,77.45,22.0,23.34,5.0,16.42,79.4
4863,391.27,76.98,22.0,23.34,5.0,20.03,79.45
4864,389.89,76.58,22.0,23.34,5.0,23.39,79.5
4865,388.79,76.26,22.0,23.34,5.0,25.61,79.5
4866,387.79,76.04,22.0,23.34,5.0,25.83,79.5
4867,387.69,75.87,22.0,23.34,5.0,25.65,79.5
4868,387.58,75.74,22.0,23.34,5.0,25.65,79.5
4869,387.38,75.56,22.0,23.34,5.0,27.11,79.5
4870,387.17,75.41,22.0,23.34,5.0,29.28,79.5
4871,386.82,75.17,22.0,23.34,5.0,30.9,79.5
4872,386.5,75.05,22.0,23.34,5.0,32.13,79.5
4873,386.5,74.85,22.0,23.34,5.0,32.3,79.5
4874,386.5,74.69,22.0,23.34,5.0,32.03,79.5
4875,386.45,74.57,22.0,23.34,5.0,32.03,79.5
4876,386.4,74.42,22.0,23.34,5.0,31.85,79.5
4877,386.4,74.36,22.0,23.34,5.0,32.03,79.5
4878,386.4,74.23,22.0,23.34,5.0,32.28,79.5
4879,386.35,74.11,22.0,23.34,5.0,32.77,79.5
4880,386.29,73.95,22.0,23.34,5.0,33.38,79.5
4881,386.19,73.83,22.0,23.34,5.0,34.91,79.5
4882,386.09,73.67,22.0,23.34,5.0,35.92,79.5
4883,385.99,73.57,22.0,23.34,5.0,36.05,79.5
4884,385.9,73.49,22.0,23.34,5.0,36.18,79.5
4885,385.85,73.41,22.0,23.34,5.0,36.35,79.5
4886,385.79,73.28,22.0,23.34,5.0,37.88,79.5
4887,385.69,73.15,22.0,23.34,5.0,38.8,79.5
4888,385.6,73.06,22.0,23.34,5.0,39.88,79.5
4889,385.55,72.98,22.0,23.34,5.0,40.81,79.5
4890,385.49,72.92,22.0,23.34,5.0,41.3,79.5
4891,385.39,72.84,22.0,23.34,5.0,41.76,79.5
4892,385.29,72.78,22.0,23.34,5.0,43.15,79.5
4893,385.14,72.71,22.0,23.34,5.0,43.92,79.5
4894,384.99,72.65,22.0,23.34,5.0,45.46,79.5
4895,384.89,72.62,22.0,23.34,5.0,46.98,79.45
4896,384.77,72.58,22.0,23.34,5.0,48.99,79.4
4897,384.42,72.51,22.0,23.34,5.0,50.58,79.4
4898,384.04,72.47,22.0,23.34,5.0,51.68,79.4
4899,383.39,72.53,22.0,23.34,5.0,52.6,79.4
4900,382.73,72.63,22.0,23.34,5.0,52.48,79.4
4901,382.03,72.72,22.0,23.34,5.0,52.48,79.4
4902,381.35,72.8,22.0,23.34,5.0,52.65,79.4
4903,380.85,72.96,22.0,23.34,5.0,52.48,79.4
4904,380.38,73.15,22.0,23.34,5.0,52.15,79.4
4905,380.13,73.36,22.0,23.34,5.0,51.75,79.4
4906,379.9,73.61,22.0,23.34,5.0,50.82,79.4
4907,379.85,73.78,22.0,23.34,5.0,49.89,79.4
4908,379.83,73.96,22.0,23.34,5.0,48.97,79.4
4909,380.13,74.15,22.0,23.34,5.0,46.49,79.4
4910,380.46,74.33,22.0,23.34,5.0,45.68,79.4
4911,381.06,74.44,22.0,23.32,5.0,45.22,79.4
4912,381.64,74.53,22.0,23.31,5.0,44.15,79.4
4913,382.04,74.61,22.0,23.29,5.0,44.1,79.4
4914,382.42,74.73,22.0,23.27,5.0,44.86,79.4
4915,382.62,74.75,22.0,23.26,5.0,46.16,79.4
4916,382.79,74.81,22.0,23.24,5.0,47.33,79.4
4917,382.69,74.81,22.0,23.22,5.0,47.96,79.4
4918,382.59,74.89,22.0,23.21,5.0,48.45,79.4
4919,382.49,75.01,22.0,23.19,5.0,48.3,79.4
4920,382.39,75.07,22.0,23.17,5.0,48.1,79.4
4921,382.24,75.15,22.0,23.19,5.0,47.98,79.4
4922,382.1,75.21,22.0,23.2,5.0,47.71,79.4
4923,382.1,75.31,22.0,23.22,5.0,47.4,79.4
4924,382.11,75.42,22.0,23.24,5.0,47.2,79.4
4925,382.21,75.46,22.0,23.25,5.0,46.31,79.4
4926,382.31,75.57,22.0,23.27,5.0,45.41,79.4
4927,382.46,75.62,22.0,23.29,5.0,45.2,79.4
4928,382.61,75.71,22.0,23.3,5.0,45.06,79.4
4929,382.71,75.8,22.0,23.32,5.0,44.88,79.4
4930,382.81,75.84,22.0,23.34,5.0,44.75,79.4
4931,382.96,75.88,22.0,23.34,5.0,43.26,79.4
4932,383.12,75.9,22.0,23.34,5.0,41.41,79.4
4933,383.37,75.96,22.0,23.34,5.0,39.05,79.4
4934,383.62,76.0,22.0,23.34,5.0,38.23,79.4
4935,383.87,76.0,22.0,23.34,5.0,38.23,79.4
4936,384.11,75.94,22.0,23.34,5.0,38.53,79.4
4937,384.26,75.92,22.0,23.34,5.0,39.12,79.4
4938,384.41,75.87,22.0,23.34,5.0,39.58,79.4
4939,384.51,75.91,22.0,23.34,5.0,41.62,79.4
4940,384.59,75.88,22.0,23.34,5.0,43.6,79.4
4941,384.49,75.83,22.0,23.32,5.0,44.28,79.35
4942,384.39,75.7,22.0,23.31,5.0,45.12,79.3
4943,384.29,75.68,22.0,23.29,5.0,46.85,79.3
4944,384.18,75.72,22.0,23.27,5.0,47.53,79.3
4945,383.98,75.76,22.0,23.26,5.0,47.68,79.3
4946,383.79,75.75,22.0,23.24,5.0,47.68,79.3
4947,383.69,75.71,22.0,23.22,5.0,47.65,79.3
4948,383.59,75.78,22.0,23.21,5.0,47.65,79.3
4949,383.49,75.8,22.0,23.19,5.0,47.38,79.3
4950,383.39,75.84,22.0,23.17,5.0,47.08,79.3
4951,383.29,75.9,22.0,23.17,5.0,47.2,79.3
4952,383.19,76.02,22.0,23.17,5.0,47.2,79.3
4953,383.04,76.02,22.0,23.17,5.0,47.34,79.3
4954,382.89,76.1,22.0,23.17,5.0,47.4,79.3
4955,382.74,76.15,22.0,23.17,5.0,47.68,79.3
4956,382.59,76.23,22.0,23.17,5.0,47.85,79.3
4957,382.44,76.3,22.0,23.17,5.0,48.87,79.3
4958,382.27,76.42,22.0,23.17,5.0,50.97,79.3
4959,381.92,76.54,22.0,23.17,5.0,51.85,79.3
4960,381.55,76.62,22.0,23.17,5.0,52.48,79.3
4961,381.0,76.72,22.0,23.17,5.0,54.13,79.3
4962,380.41,76.87,22.0,23.17,5.0,54.65,79.3
4963,379.51,77.09,22.0,23.17,5.0,54.5,79.3
4964,378.66,77.37,22.0,23.17,5.0,54.5,79.3
4965,378.21,77.58,22.0,23.17,5.0,54.44,79.3
4966,377.77,77.89,22.0,23.17,5.0,54.47,79.3
4967,377.42,78.3,22.0,23.17,5.0,52.98,79.3
4968,377.13,78.6,22.0,23.17,5.0,50.94,79.3
4969,377.48,78.88,22.0,23.17,5.0,48.53,79.3
4970,377.89,79.1,22.0,23.17,5.0,47.75,79.3
4971,378.79,79.4,22.0,23.17,5.0,43.95,79.3
4972,379.71,79.63,22.0,23.17,5.0,38.39,79.3
4973,380.81,79.81,22.0,23.17,5.0,36.28,79.3
4974,381.87,79.91,22.0,23.17,5.0,34.22,79.3
4975,382.57,79.84,22.0,23.17,5.0,32.98,79.3
4976,383.23,79.92,22.0,23.17,5.0,32.98,79.3
4977,383.58,79.99,22.0,23.17,5.0,32.95,79.3
4978,383.91,79.99,22.0,23.17,5.0,32.77,79.3
4979,384.06,79.96,22.0,23.17,5.0,32.6,79.3
4980,384.21,79.95,22.0,23.17,5.0,32.77,79.3
4981,384.36,79.97,22.0,23.17,5.0,32.95,79.3
4982,384.51,79.91,22.0,23.17,5.0,32.95,79.3
4983,384.66,79.88,22.0,23.17,5.0,32.95,79.3
4984,384.81,79.79,22.0,23.17,5.0,32.92,79.3
4985,384.96,79.77,22.0,23.17,5.0,32.8,79.3
4986,385.11,79.74,22.0,23.17,5.0,32.95,79.3
4987,385.21,79.79,22.0,23.17,5.0,33.67,79.3
4988,385.29,79.73,22.0,23.17,5.0,34.6,79.3
4989,385.19,79.59,22.0,23.17,5.0,34.92,79.3
4990,385.1,79.54,22.0,23.17,5.0,34.95,79.3
4991,385.15,79.51,22.0,23.17,5.0,34.95,79.25
4992,385.2,79.54,22.0,23.17,5.0,35.79,79.2
4993,385.15,79.3,22.0,23.17,5.0,36.15,79.2
4994,385.1,79.3,22.0,23.17,5.0,36.02,79.2
4995,385.1,79.34,22.0,23.17,5.0,36.2,79.2
4996,385.1,79.28,22.0,23.17,5.0,36.05,79.2
4997,385.15,79.23,22.0,23.17,5.0,35.9,79.2
4998,385.2,79.22,22.0,23.17,5.0,35.9,79.2
4999,385.2,79.29,22.0,23.17,5.0,35.73,79.2
5000,385.2,79.08,22.0,23.17,5.0,35.73,79.2
5001,385.2,79.1,22.0,23.17,5.0,35.73,79.2
5002,385.2,79.04,22.0,23.17,5.0,35.73,79.2
5003,385.2,78.92,22.0,23.17,5.0,36.05,79.2
5004,385.2,79.02,22.0,23.17,5.0,37.02,79.2
5005,385.15,78.96,22.0,23.17,5.0,39.39,79.2
5006,385.09,78.89,22.0,23.17,5.0,40.2,79.2
5007,384.94,78.88,22.0,23.17,5.0,40.97,79.2
5008,384.79,78.86,22.0,23.17,5.0,41.9,79.2
5009,384.69,78.77,22.0,23.17,5.0,42.28,79.2
5010,384.59,78.82,22.0,23.17,5.0,42.4,79.2
5011,384.49,78.83,22.0,23.17,5.0,42.28,79.2
5012,384.4,78.83,22.0,23.17,5.0,42.4,79.2
5013,384.4,78.79,22.0,23.17,5.0,42.4,79.2
5014,384.4,78.89,22.0,23.17,5.0,42.4,79.2
5015,384.35,78.97,22.0,23.17,5.0,42.43,79.2
5016,384.3,78.92,22.0,23.17,5.0,42.43,79.2
5017,384.3,78.88,22.0,23.17,5.0,42.28,79.2
5018,384.3,78.86,22.0,23.17,5.0,42.15,79.2
5019,384.35,78.97,22.0,23.17,5.0,42.1,79.2
5020,384.4,79.0,22.0,23.17,5.0,42.1,79.2
5021,384.45,78.95,22.0,23.17,5.0,41.8,79.2
5022,384.5,78.91,22.0,23.17,5.0,41.65,79.2
5023,384.55,78.92,22.0,23.17,5.0,41.51,79.2
5024,384.61,78.97,22.0,23.17,5.0,41.33,79.2
5025,384.71,79.01,22.0,23.17,5.0,41.33,79.2
5026,384.8,78.96,22.0,23.17,5.0,40.97,79.2
5027,384.8,78.97,22.0,23.17,5.0,40.23,79.2
5028,384.81,78.94,22.0,23.17,5.0,39.58,79.2
5029,384.91,78.95,22.0,23.17,5.0,39.6,79.2
5030,385.0,79.0,22.0,23.17,5.0,39.48,79.2
5031,385.0,78.95,22.0,23.17,5.0,39.48,79.2
5032,385.0,78.97,22.0,23.17,5.0,39.5,79.2
5033,385.0,79.0,22.0,23.17,5.0,39.48,79.2
5034,385.0,79.01,22.0,23.17,5.0,39.3,79.2
5035,385.0,78.94,22.0,23.17,5.0,39.48,79.2
5036,385.0,78.95,22.0,23.17,5.0,39.93,79.2
5037,384.95,79.0,22.0,23.17,5.0,40.4,79.2
5038,384.89,79.0,22.0,23.17,5.0,41.72,79.2
5039,384.79,78.96,22.0,23.17,5.0,42.97,79.2
5040,384.69,78.93,22.0,23.17,5.0,43.5,79.2
5041,384.59,78.96,22.0,23.17,5.0,43.78,79.2
5042,384.49,79.0,22.0,23.17,5.0,43.95,79.2
5043,384.34,79.07,22.0,23.17,5.0,43.92,79.2
5044,384.19,79.12,22.0,23.17,5.0,43.92,79.2
5045,384.04,79.19,22.0,23.17,5.0,43.81,79.2
5046,383.9,79.01,22.0,23.17,5.0,43.5,79.2
5047,383.95,79.09,22.0,23.17,5.0,43.18,79.2
5048,384.0,79.29,22.0,23.17,5.0,43.18,79.2
5049,384.05,79.38,22.0,23.17,5.0,43.18,79.2
5050,384.1,79.39,22.0,23.17,5.0,43.18,79.2
5051,384.15,79.46,22.0,23.17,5.0,43.05,79.2
5052,384.2,79.49,22.0,23.17,5.0,42.88,79.2
5053,384.25,79.46,22.0,23.17,5.0,42.43,79.2
5054,384.31,79.49,22.0,23.17,5.0,41.93,79.2
5055,384.46,79.54,22.0,23.17,5.0,41.33,79.2
5056,384.61,79.57,22.0,23.17,5.0,41.33,79.2
5057,384.71,79.59,22.0,23.17,5.0,41.33,79.2
5058,384.8,79.63,22.0,23.17,5.0,41.18,79.2
5059,384.85,79.64,22.0,23.17,5.0,41.18,79.2
5060,384.89,79.68,22.0,23.17,5.0,41.33,79.2
5061,384.79,79.72,22.0,23.17,5.0,41.65,79.2
5062,384.69,79.72,22.0,23.17,5.0,41.93,79.2
5063,384.59,79.78,22.0,23.17,5.0,42.4,79.2
5064,384.49,79.78,22.0,23.17,5.0,43.18,79.2
5065,384.34,79.8,22.0,23.17,5.0,43.75,79.2
5066,384.19,79.82,22.0,23.17,5.0,43.78,79.2
5067,384.09,79.85,22.0,23.17,5.0,44.24,79.2
5068,383.99,79.92,22.0,23.17,5.0,45.0,79.2
5069,383.89,79.97,22.0,23.17,5.0,44.9,79.2
5070,383.79,80.0,22.0,23.17,5.0,44.88,79.2
5071,383.64,80.11,22.0,23.17,5.0,45.2,79.2
5072,383.5,80.2,22.0,23.17,5.0,45.23,79.2
5073,383.45,80.25,22.0,23.17,5.0,45.03,79.2
5074,383.4,80.32,22.0,23.17,5.0,45.03,79.2
5075,383.45,80.4,22.0,23.17,5.0,45.03,79.2
5076,383.5,80.49,22.0,23.17,5.0,44.88,79.2
5077,383.5,80.54,22.0,23.17,5.0,44.75,79.2
5078,383.5,80.63,22.0,23.17,5.0,44.75,79.2
5079,383.55,80.72,22.0,23.17,5.0,44.61,79.2
5080,383.6,80.75,22.0,23.17,5.0,44.28,79.2
5081,383.65,80.86,22.0,23.17,5.0,44.13,79.2
5082,383.7,80.97,22.0,23.17,5.0,43.98,79.2
5083,383.75,81.03,22.0,23.17,5.0,43.67,79.2
5084,383.81,81.08,22.0,23.17,5.0,43.05,79.2
5085,383.96,81.09,22.0,23.17,5.0,42.6,79.2
5086,384.11,81.12,22.0,23.17,5.0,42.28,79.2
5087,384.26,81.21,22.0,23.17,5.0,42.1,79.2
5088,384.4,81.28,22.0,23.17,5.0,42.1,79.2
5089,384.45,81.34,22.0,23.17,5.0,42.1,79.2
5090,384.5,81.38,22.0,23.17,5.0,42.1,79.2
5091,384.5,81.46,22.0,23.17,5.0,41.67,79.2
5092,384.51,81.5,22.0,23.17,5.0,41.03,79.2
5093,384.66,81.52,22.0,23.17,5.0,40.85,79.2
5094,384.8,81.52,22.0,23.17,5.0,40.68,79.2
5095,384.85,81.52,22.0,23.17,5.0,40.57,79.2
5096,384.9,81.6,22.0,23.17,5.0,40.43,79.2
5097,384.9,81.6,22.0,23.17,5.0,40.23,79.2
5098,384.9,81.65,22.0,23.17,5.0,40.08,79.2
5099,384.95,81.65,22.0,23.17,5.0,40.08,79.2
5100,385.0,81.69,22.0,23.17,5.0,40.08,79.2
5101,384.95,81.77,22.0,23.17,5.0,40.08,79.2
5102,384.9,81.79,22.0,23.17,5.0,39.95,79.2
5103,384.95,81.81,22.0,23.17,5.0,39.93,79.2
5104,385.0,81.82,22.0,23.17,5.0,39.93,79.2
5105,385.0,81.88,22.0,23.17,5.0,39.95,79.2
5106,385.0,81.9,22.0,23.17,5.0,39.95,79.2
5107,385.0,81.94,22.0,23.17,5.0,40.23,79.2
5108,385.0,81.97,22.0,23.17,5.0,40.23,79.2
5109,385.0,82.0,22.0,23.17,5.0,40.4,79.15
5110,385.0,82.04,22.0,23.17,5.0,40.4,79.1
5111,385.0,82.07,22.0,23.17,5.0,40.4,79.1
5112,385.0,82.09,22.0,23.17,5.0,40.4,79.1
5113,385.0,82.12,22.0,23.17,5.0,40.4,79.1
5114,385.0,82.14,22.0,23.17,5.0,40.4,79.1
5115,385.0,82.18,22.0,23.17,5.0,40.4,79.1
5116,385.0,82.22,22.0,23.17,5.0,40.4,79.1
5117,385.0,82.24,22.0,23.17,5.0,40.4,79.1
5118,385.0,82.27,22.0,23.17,5.0,40.52,79.1
5119,385.0,82.3,22.0,23.17,5.0,40.55,79.1
5120,385.0,82.33,22.0,23.17,5.0,40.55,79.1
5121,385.0,82.38,22.0,23.17,5.0,40.55,79.1
5122,385.0,82.36,22.0,23.17,5.0,40.55,79.1
5123,385.0,82.4,22.0,23.17,5.0,40.55,79.1
5124,385.0,82.4,22.0,23.17,5.0,40.55,79.1
5125,385.0,82.42,22.0,23.17,5.0,40.55,79.1
5126,385.0,82.45,22.0,23.17,5.0,40.55,79.1
5127,385.0,82.47,22.0,23.17,5.0,40.65,79.1
5128,385.0,82.47,22.0,23.17,5.0,40.55,79.1
5129,385.0,82.51,22.0,23.17,5.0,40.55,79.1
5130,385.0,82.47,22.0,23.17,5.0,40.52,79.1
5131,385.0,82.52,22.0,23.19,5.0,40.55,79.1
5132,385.0,82.59,22.0,23.2,5.0,40.68,79.1
5133,385.0,82.6,22.0,23.22,5.0,40.97,79.1
5134,385.0,82.66,22.0,23.24,5.0,41.43,79.1
5135,384.95,82.66,22.0,23.25,5.0,41.78,79.1
5136,384.89,82.68,22.0,23.27,5.0,42.38,79.1
5137,384.74,82.68,22.0,23.29,5.0,42.68,79.1
5138,384.59,82.76,22.0,23.3,5.0,43.03,79.1
5139,384.44,82.78,22.0,23.32,5.0,43.03,79.1
5140,384.31,82.75,22.0,23.34,5.0,42.85,79.1
5141,384.36,82.87,22.0,23.34,5.0,42.85,79.1
5142,384.4,82.92,22.0,23.34,5.0,42.85,79.1
5143,384.34,82.99,22.0,23.34,5.0,42.7,79.1
5144,384.31,83.01,22.0,23.34,5.0,42.58,79.1
5145,384.36,83.0,22.0,23.34,5.0,42.58,79.1
5146,384.41,83.04,22.0,23.34,5.0,42.4,79.1
5147,384.51,83.04,22.0,23.34,5.0,42.25,79.1
5148,384.61,83.09,22.0,23.34,5.0,42.1,79.1
5149,384.66,83.11,22.0,23.34,5.0,41.93,79.1
5150,384.71,83.14,22.0,23.34,5.0,41.65,79.1
5151,384.81,83.15,22.0,23.34,5.0,41.0,79.1
5152,384.91,83.17,22.0,23.34,5.0,40.57,79.1
5153,385.01,83.19,22.0,23.34,5.0,39.78,79.1
5154,385.11,83.18,22.0,23.34,5.0,39.3,79.1
5155,385.16,83.23,22.0,23.34,5.0,39.02,79.1
5156,385.2,83.18,22.0,23.34,5.0,38.7,79.1
5157,385.2,83.18,22.0,23.34,5.0,38.1,79.1
5158,385.2,83.19,22.0,23.34,5.0,37.75,79.1
5159,385.2,83.16,22.0,23.34,5.0,37.75,79.1
5160,385.21,83.16,22.0,23.34,5.0,37.45,79.1
5161,385.26,83.15,22.0,23.32,5.0,37.15,79.1
5162,385.31,83.13,22.0,23.31,5.0,36.83,79.1
5163,385.36,83.13,22.0,23.29,5.0,36.23,79.1
5164,385.4,83.13,22.0,23.27,5.0,35.92,79.1
5165,385.4,83.16,22.0,23.26,5.0,35.9,79.1
5166,385.41,83.11,22.0,23.24,5.0,35.73,79.1
5167,385.46,83.12,22.0,23.22,5.0,35.73,79.1
5168,385.49,83.07,22.0,23.21,5.0,35.73,79.1
5169,385.44,83.09,22.0,23.19,5.0,35.9,79.1
5170,385.4,83.03,22.0,23.17,5.0,35.9,79.1
5171,385.4,82.94,22.0,23.19,5.0,36.05,79.1
5172,385.4,82.97,22.0,23.2,5.0,36.34,79.1
5173,385.4,82.98,22.0,23.22,5.0,36.79,79.1
5174,385.39,82.94,22.0,23.24,5.0,37.67,79.1
5175,385.34,82.86,22.0,23.25,5.0,38.38,79.1
5176,385.29,82.81,22.0,23.27,5.0,38.83,79.1
5177,385.24,82.79,22.0,23.29,5.0,39.15,79.1
5178,385.2,82.8,22.0,23.3,5.0,39.25,79.1
5179,385.2,82.79,22.0,23.32,5.0,39.48,79.1
5180,385.19,82.73,22.0,23.34,5.0,40.03,79.1
5181,385.14,82.74,22.0,23.32,5.0,41.12,79.1
5182,385.08,82.74,22.0,23.31,5.0,42.04,79.1
5183,384.93,82.73,22.0,23.29,5.0,42.35,79.1
5184,384.78,82.71,22.0,23.27,5.0,42.58,79.1
5185,384.63,82.69,22.0,23.26,5.0,42.8,79.1
5186,384.49,82.73,22.0,23.24,5.0,42.97,79.1
5187,384.44,82.72,22.0,23.22,5.0,43.03,79.1
5188,384.4,82.74,22.0,23.21,5.0,42.85,79.1
5189,384.4,82.76,22.0,23.19,5.0,42.85,79.1
5190,384.39,82.76,22.0,23.17,5.0,43.12,79.1
5191,384.34,82.72,22.0,23.19,5.0,43.18,79.1
5192,384.29,82.79,22.0,23.2,5.0,43.7,79.1
5193,384.19,82.77,22.0,23.22,5.0,44.04,79.1
5194,384.09,82.83,22.0,23.24,5.0,44.2,79.1
5195,383.99,82.92,22.0,23.25,5.0,44.28,79.1
5196,383.89,82.95,22.0,23.27,5.0,44.34,79.1
5197,383.84,82.94,22.0,23.29,5.0,44.28,79.1
5198,383.81,82.94,22.0,23.3,5.0,44.28,79.1
5199,383.86,83.06,22.0,23.32,5.0,44.28,79.1
5200,383.9,83.12,22.0,23.34,5.0,44.28,79.1
5201,383.9,83.11,22.0,23.34,5.0,44.28,79.1
5202,383.9,83.08,22.0,23.34,5.0,44.1,79.1
5203,383.9,83.17,22.0,23.34,5.0,44.1,79.1
5204,383.9,83.26,22.0,23.34,5.0,44.1,79.1
5205,383.9,83.26,22.0,23.34,5.0,44.1,79.1
5206,383.9,83.25,22.0,23.34,5.0,44.1,79.1
5207,383.9,83.32,22.0,23.34,5.0,44.1,79.1
5208,383.9,83.29,22.0,23.34,5.0,44.02,79.1
5209,383.9,83.36,22.0,23.34,5.0,44.1,79.1
5210,383.9,83.38,22.0,23.34,5.0,44.1,79.1
5211,383.9,83.37,22.0,23.34,5.0,44.1,79.1
5212,383.9,83.4,22.0,23.34,5.0,44.1,79.1
5213,383.9,83.42,22.0,23.34,5.0,43.95,79.1
5214,383.9,83.44,22.0,23.34,5.0,43.95,79.1
5215,383.9,83.42,22.0,23.34,5.0,43.95,79.1
5216,383.9,83.46,22.0,23.34,5.0,43.95,79.1
5217,383.9,83.49,22.0,23.34,5.0,43.95,79.1
5218,383.91,83.51,22.0,23.34,5.0,43.95,79.1
5219,383.96,83.5,22.0,23.34,5.0,43.78,79.1
5220,384.01,83.49,22.0,23.34,5.0,43.27,79.1
5221,384.11,83.5,22.0,23.34,5.0,42.85,79.1
5222,384.21,83.61,22.0,23.34,5.0,42.85,79.1
5223,384.31,83.58,22.0,23.34,5.0,42.52,79.1
5224,384.41,83.54,22.0,23.34,5.0,41.93,79.1
5225,384.51,83.52,22.0,23.34,5.0,41.43,79.1
5226,384.62,83.51,22.0,23.34,5.0,41.37,79.1
5227,384.77,83.48,22.0,23.34,5.0,41.48,79.1
5228,384.89,83.4,22.0,23.34,5.0,41.52,79.1
5229,384.79,83.34,22.0,23.34,5.0,41.78,79.04
5230,384.69,83.27,22.0,23.34,5.0,42.14,79.0
5231,384.64,83.25,22.0,23.34,5.0,42.4,79.0
5232,384.58,83.3,22.0,23.34,5.0,43.18,79.0
5233,384.43,83.3,22.0,23.34,5.0,43.71,79.0
5234,384.28,83.3,22.0,23.34,5.0,44.28,79.0
5235,384.13,83.29,22.0,23.34,5.0,44.43,79.0
5236,383.99,83.25,22.0,23.34,5.0,44.44,79.0
5237,383.89,83.27,22.0,23.34,5.0,44.75,79.0
5238,383.78,83.31,22.0,23.34,5.0,45.83,79.0
5239,383.63,83.33,22.0,23.34,5.0,46.13,79.0
5240,383.48,83.33,22.0,23.34,5.0,46.45,79.0
5241,383.33,83.35,22.0,23.34,5.0,46.45,79.0
5242,383.19,83.33,22.0,23.34,5.0,46.61,79.0
5243,383.09,83.41,22.0,23.34,5.0,47.33,79.0
5244,382.98,83.49,22.0,23.34,5.0,47.98,79.0
5245,382.83,83.48,22.0,23.34,5.0,47.96,79.0
5246,382.68,83.46,22.0,23.34,5.0,47.96,79.0
5247,382.53,83.53,22.0,23.34,5.0,47.96,79.0
5248,382.38,83.64,22.0,23.34,5.0,47.98,79.0
5249,382.18,83.71,22.0,23.34,5.0,47.88,79.0
5250,381.99,83.76,22.0,23.34,5.0,47.85,79.0
5251,381.94,83.78,22.0,23.34,5.0,47.68,79.0
5252,381.91,83.9,22.0,23.34,5.0,47.68,79.0
